iter	RMSE
0	1.57011139
1	1.480537031
2	1.404049311
3	1.338849821
4	1.282839853
5	1.23317253
6	1.19357045
7	1.158375994
8	1.130309319
9	1.105701864
10	1.084230556
11	1.06297897
12	1.046288205
13	1.033025905
14	1.022250255
15	1.009295098
16	1.000179788
17	0.9898589
18	0.9836793468
19	0.9774021667
20	0.9709193479
21	0.9640966177
22	0.9596146035
23	0.9552343439
24	0.9514244404
25	0.947592825
26	0.9440676157
27	0.9386586486
28	0.9358142724
29	0.9319456162
30	0.9283255575
31	0.9257595336
32	0.9230946852
33	0.9211004128
34	0.9174416287
35	0.9148795507
36	0.911874599
37	0.9102131686
38	0.9077087011
39	0.9055621157
40	0.9031692784
41	0.9015703365
42	0.9001074924
43	0.8984173337
44	0.8970037334
45	0.8942259558
46	0.893135874
47	0.891429365
48	0.8905520201
49	0.8887711767
50	0.8876226235
51	0.8864393068
52	0.8856839423
53	0.8838923858
54	0.8823356671
55	0.880607959
56	0.8790232605
57	0.878094499
58	0.8772479468
59	0.875866051
60	0.8747598444
61	0.8737675509
62	0.872195253
63	0.8713190343
64	0.8704175269
65	0.869740285
66	0.8688284118
67	0.8681086181
68	0.8672290652
69	0.8659233031
70	0.8639952647
71	0.8631446205
72	0.8624023195
73	0.8615932965
74	0.8608730167
75	0.8600425084
76	0.8589409891
77	0.8581056765
78	0.8577301164
79	0.857215199
80	0.8564960165
81	0.8559395164
82	0.8554437175
83	0.8549554067
84	0.8546253853
85	0.8540666238
86	0.8528135769
87	0.8523855818
88	0.8517415142
89	0.851298622
90	0.8506239133
91	0.8503687535
92	0.848991744
93	0.848618271
94	0.8482456256
95	0.8475011845
96	0.8471933336
97	0.8467337551
98	0.8462883102
99	0.8458879836
100	0.8452108097
101	0.8446046575
102	0.8443753966
103	0.8440094466
104	0.8433588426
105	0.8429907698
106	0.8426157053
107	0.8414977764
108	0.8405808072
109	0.8401124157
110	0.8390195112
111	0.838572772
112	0.8380266323
113	0.8376626897
114	0.8373808106
115	0.8368577528
116	0.8364943707
117	0.8362138424
118	0.8356538274
119	0.8353881396
120	0.834943638
121	0.8340616178
122	0.8337654106
123	0.83335473
124	0.8329808381
125	0.8325319801
126	0.8322670144
127	0.8313210808
128	0.831098368
129	0.8307462652
130	0.8305336602
131	0.8300781719
132	0.8295769833
133	0.8292678483
134	0.8286711958
135	0.8282899126
136	0.8279702771
137	0.8275456754
138	0.827251772
139	0.8269047031
140	0.8266224769
141	0.8263510374
142	0.8260635414
143	0.8258017491
144	0.8254730172
145	0.8251242282
146	0.8249382489
147	0.8247195355
148	0.8244089641
149	0.8239673692
150	0.8236753912
151	0.8234106561
152	0.8231879626
153	0.8229273923
154	0.8224603891
155	0.8222667143
156	0.8220635321
157	0.8217970919
158	0.8216062004
159	0.8213391598
160	0.8211006849
161	0.8208182839
162	0.8202272659
163	0.8200155334
164	0.8193521566
165	0.8191556316
166	0.8185510912
167	0.8183482367
168	0.8180966383
169	0.8178777649
170	0.8175300198
171	0.8171624597
172	0.8167787646
173	0.8164008812
174	0.8162090843
175	0.8157963453
176	0.8156201842
177	0.8147745312
178	0.8144167999
179	0.8141803393
180	0.8139253741
181	0.8137476923
182	0.8132018121
183	0.812999975
184	0.8127829435
185	0.8122812534
186	0.8121594254
187	0.811979957
188	0.8117733846
189	0.8115704096
190	0.8114303024
191	0.8112633856
192	0.810667001
193	0.8104444768
194	0.8102882217
195	0.8101118623
196	0.809925436
197	0.8097127331
198	0.8095578987
199	0.8093807379
200	0.8090620494
201	0.8087627938
202	0.8086272216
203	0.8082386792
204	0.8080355318
205	0.8078924437
206	0.8076288702
207	0.8073559137
208	0.8072146061
209	0.8070668972
210	0.8069543543
211	0.8068163705
212	0.8067423652
213	0.8066284441
214	0.8064497978
215	0.8062951575
216	0.8061543023
217	0.8060316072
218	0.8054304907
219	0.8052898793
220	0.8050951944
221	0.8047303901
222	0.8045898516
223	0.8044079526
224	0.8043132409
225	0.8041627544
226	0.8039100854
227	0.8034425073
228	0.8031129005
229	0.8029244354
230	0.8028068901
231	0.8026741983
232	0.8024226791
233	0.8021881226
234	0.8020229288
235	0.8019503404
236	0.8017403643
237	0.8015603941
238	0.801409568
239	0.8012930619
240	0.8011945089
241	0.800975319
242	0.8008197925
243	0.800666608
244	0.800529956
245	0.8004260709
246	0.8000884298
247	0.8000045019
248	0.7998697837
249	0.7997323089
250	0.7993438813
251	0.7992123354
252	0.7989569089
253	0.798891799
254	0.7987818453
255	0.7985669111
256	0.7984279352
257	0.7982601703
258	0.7980864797
259	0.7979834776
260	0.7978347175
261	0.7976854928
262	0.7975246505
263	0.7973803232
264	0.7972767157
265	0.7971083374
266	0.7970319656
267	0.7969428139
268	0.7966532505
269	0.7965161217
270	0.7963697058
271	0.7962385282
272	0.7961037045
273	0.7960367662
274	0.7957489926
275	0.7956620893
276	0.7955807145
277	0.7954503771
278	0.795361738
279	0.7952919052
280	0.7949496061
281	0.7945959191
282	0.7944934516
283	0.7943781961
284	0.7942061808
285	0.7941119637
286	0.794000975
287	0.7939130543
288	0.7938394953
289	0.7937503776
290	0.7936427127
291	0.7935044128
292	0.7934460419
293	0.7933909818
294	0.7932415308
295	0.7931132667
296	0.7930493715
297	0.792998408
298	0.7929210134
299	0.7928295516
300	0.7927145732
301	0.7925152558
302	0.7923567211
303	0.7922488146
304	0.7921905335
305	0.7920037266
306	0.7919091431
307	0.7918319111
308	0.7917575373
309	0.7915106086
310	0.7913939887
311	0.7912589181
312	0.7911644087
313	0.7910865033
314	0.7909859426
315	0.7908893909
316	0.7908145389
317	0.7906622125
318	0.7905948636
319	0.79035981
320	0.7902643268
321	0.7901063936
322	0.7899516812
323	0.7897382222
324	0.789676169
325	0.7896162397
326	0.789509115
327	0.7893981526
328	0.7892846534
329	0.7891127858
330	0.7890474337
331	0.7889665461
332	0.7888859887
333	0.7888026678
334	0.7886971645
335	0.788446483
