iter	Passed	Remaining
0	44	44016
1	66	33062
2	88	29422
3	111	27718
4	135	26994
5	158	26306
6	184	26189
7	211	26214
8	240	26439
9	273	27034
10	299	26915
11	323	26643
12	345	26203
13	369	26037
14	393	25855
15	418	25752
16	445	25781
17	476	26018
18	499	25803
19	523	25629
20	544	25364
21	566	25169
22	589	25019
23	614	25008
24	643	25094
25	669	25086
26	690	24870
27	712	24741
28	733	24576
29	755	24437
30	776	24278
31	795	24078
32	819	24008
33	843	23975
34	872	24048
35	896	24000
36	923	24030
37	943	23892
38	968	23859
39	992	23813
40	1023	23928
41	1052	24002
42	1075	23944
43	1096	23823
44	1112	23613
45	1134	23521
46	1154	23416
47	1177	23356
48	1196	23215
49	1216	23110
50	1239	23057
51	1256	22909
52	1277	22821
53	1299	22768
54	1320	22688
55	1342	22633
56	1366	22608
57	1386	22524
58	1408	22471
59	1433	22465
60	1454	22393
61	1476	22342
62	1500	22317
63	1518	22205
64	1541	22166
65	1559	22076
66	1578	21987
67	1597	21892
68	1619	21847
69	1642	21823
70	1663	21769
71	1682	21686
72	1702	21623
73	1722	21549
74	1742	21487
75	1764	21451
76	1786	21420
77	1806	21349
78	1823	21258
79	1842	21186
80	1868	21196
81	1893	21193
82	1925	21276
83	1947	21234
84	1964	21149
85	1984	21088
86	2005	21045
87	2023	20968
88	2048	20967
89	2069	20921
90	2091	20890
91	2111	20834
92	2132	20793
93	2149	20720
94	2167	20651
95	2188	20603
96	2206	20544
97	2228	20507
98	2249	20474
99	2268	20416
100	2292	20406
101	2318	20416
102	2339	20369
103	2359	20323
104	2382	20309
105	2402	20262
106	2422	20215
107	2445	20196
108	2468	20181
109	2488	20135
110	2512	20119
111	2534	20093
112	2554	20049
113	2571	19983
114	2589	19928
115	2608	19881
116	2628	19840
117	2645	19770
118	2667	19748
119	2688	19718
120	2712	19702
121	2736	19693
122	2754	19642
123	2773	19594
124	2794	19561
125	2815	19530
126	2834	19486
127	2857	19469
128	2878	19436
129	2933	19628
130	2956	19611
131	2984	19628
132	3006	19601
133	3027	19564
134	3047	19528
135	3067	19489
136	3088	19454
137	3108	19416
138	3130	19388
139	3150	19355
140	3171	19318
141	3192	19291
142	3209	19236
143	3227	19187
144	3250	19168
145	3271	19133
146	3290	19096
147	3313	19075
148	3331	19026
149	3350	18987
150	3371	18954
151	3391	18923
152	3411	18883
153	3431	18848
154	3453	18828
155	3472	18784
156	3491	18749
157	3513	18724
158	3534	18695
159	3555	18668
160	3575	18631
161	3594	18593
162	3615	18565
163	3633	18524
164	3656	18506
165	3676	18471
166	3695	18433
167	3716	18403
168	3738	18381
169	3758	18351
170	3779	18322
171	3801	18299
172	3824	18280
173	3846	18261
174	3865	18221
175	3888	18207
176	3907	18169
177	3931	18154
178	3951	18122
179	3971	18092
180	3991	18060
181	4011	18027
182	4035	18014
183	4056	17990
184	4078	17966
185	4100	17946
186	4119	17907
187	4141	17887
188	4163	17865
189	4185	17843
190	4204	17806
191	4223	17775
192	4245	17753
193	4267	17731
194	4287	17701
195	4308	17674
196	4329	17645
197	4349	17616
198	4368	17585
199	4389	17557
200	4410	17534
201	4431	17507
202	4452	17480
203	4477	17472
204	4500	17452
205	4519	17418
206	4542	17402
207	4566	17388
208	4583	17347
209	4603	17316
210	4619	17275
211	4639	17246
212	4656	17203
213	4674	17168
214	4695	17143
215	4715	17116
216	4734	17083
217	4754	17056
218	4775	17029
219	4797	17011
220	4819	16987
221	4839	16959
222	4858	16928
223	4880	16908
224	4899	16876
225	4917	16840
226	4938	16816
227	4963	16804
228	4987	16791
229	5008	16767
230	5025	16731
231	5046	16706
232	5068	16684
233	5090	16663
234	5110	16637
235	5129	16606
236	5148	16574
237	5169	16550
238	5188	16519
239	5209	16496
240	5228	16466
241	5247	16436
242	5264	16399
243	5286	16379
244	5306	16352
245	5324	16319
246	5347	16302
247	5366	16272
248	5390	16256
249	5412	16238
250	5436	16221
251	5457	16198
252	5480	16181
253	5497	16146
254	5519	16124
255	5539	16099
256	5560	16074
257	5578	16044
258	5601	16026
259	5623	16004
260	5642	15975
261	5661	15946
262	5682	15923
263	5702	15897
264	5722	15872
265	5741	15843
266	5760	15814
267	5780	15789
268	5805	15775
269	5825	15751
270	5847	15730
271	5869	15709
272	5888	15680
273	5907	15652
274	5931	15637
275	5951	15610
276	5970	15583
277	5992	15564
278	6012	15537
279	6030	15506
280	6054	15490
281	6077	15474
282	6098	15451
283	6116	15421
284	6142	15410
285	6160	15380
286	6180	15354
287	6200	15328
288	6223	15311
289	6245	15289
290	6263	15261
291	6284	15238
292	6303	15210
293	6322	15181
294	6342	15156
295	6363	15135
296	6382	15107
297	6401	15079
298	6433	15083
299	6464	15084
300	6487	15066
301	6507	15041
302	6529	15019
303	6547	14990
304	6565	14960
305	6587	14939
306	6607	14915
307	6630	14897
308	6649	14870
309	6673	14853
310	6695	14833
311	6715	14807
312	6735	14784
313	6754	14757
314	6778	14741
315	6797	14713
316	6815	14684
317	6836	14662
318	6856	14637
319	6880	14620
320	6898	14592
321	6919	14568
322	6941	14549
323	6961	14525
324	6979	14496
325	6997	14467
326	7014	14437
327	7036	14416
328	7057	14394
329	7081	14377
330	7103	14356
331	7124	14335
332	7143	14309
333	7166	14289
334	7186	14265
335	7209	14247
336	7228	14221
337	7249	14198
338	7269	14173
339	7289	14151
340	7308	14124
341	7326	14095
342	7346	14071
343	7369	14052
344	7391	14033
345	7415	14016
346	7434	13991
347	7455	13968
348	7473	13941
349	7492	13914
350	7513	13891
351	7536	13873
352	7556	13849
353	7580	13832
354	7601	13810
355	7623	13789
356	7643	13766
357	7667	13750
358	7691	13734
359	7715	13716
360	7735	13692
361	7757	13672
362	7777	13648
363	7796	13623
364	7814	13595
365	7835	13572
366	7858	13553
367	7882	13537
368	7902	13513
369	7925	13495
370	7944	13469
371	7965	13447
372	7984	13422
373	8006	13400
374	8023	13372
375	8041	13345
376	8063	13324
377	8082	13299
378	8105	13280
379	8129	13263
380	8153	13246
381	8172	13221
382	8191	13195
383	8211	13172
384	8235	13155
385	8253	13128
386	8273	13105
387	8293	13081
388	8314	13059
389	8336	13039
390	8357	13017
391	8378	12995
392	8400	12974
393	8419	12950
394	8440	12927
395	8460	12904
396	8479	12879
397	8498	12854
398	8516	12827
399	8535	12803
400	8556	12781
401	8575	12756
402	8592	12729
403	8614	12708
404	8638	12691
405	8660	12670
406	8682	12650
407	8701	12625
408	8722	12604
409	8744	12583
410	8767	12563
411	8786	12539
412	8809	12521
413	8830	12499
414	8854	12482
415	8874	12458
416	8894	12434
417	8911	12407
418	8929	12381
419	8951	12361
420	8975	12344
421	8996	12322
422	9016	12298
423	9039	12280
424	9059	12256
425	9080	12235
426	9098	12209
427	9117	12185
428	9139	12164
429	9162	12145
430	9180	12120
431	9200	12097
432	9221	12075
433	9240	12051
434	9262	12030
435	9280	12005
436	9301	11983
437	9321	11959
438	9344	11941
439	9365	11919
440	9386	11897
441	9406	11875
442	9426	11852
443	9450	11833
444	9472	11814
445	9492	11791
446	9510	11766
447	9533	11746
448	9553	11724
449	9570	11697
450	9591	11675
451	9610	11651
452	9630	11629
453	9652	11608
454	9672	11585
455	9692	11562
456	9711	11539
457	9733	11519
458	9757	11501
459	9781	11482
460	9801	11459
461	9819	11434
462	9843	11416
463	9868	11400
464	9892	11381
465	9910	11356
466	9929	11332
467	9947	11308
468	9971	11289
