date,transit_stations_percent_change_from_baseline
2021-01-01,-72.0
2021-01-02,-40.0
2021-01-03,-36.0
2021-01-04,-41.0
2021-01-05,-40.0
2021-01-06,-44.0
2021-01-07,-42.0
2021-01-08,-42.0
2021-01-09,-34.0
2021-01-10,-36.0
2021-01-11,-40.0
2021-01-12,-39.0
2021-01-13,-43.0
2021-01-14,-42.0
2021-01-15,-42.0
2021-01-16,-46.0
2021-01-17,-41.0
2021-01-18,-44.0
2021-01-19,-44.0
2021-01-20,-44.0
2021-01-21,-42.0
2021-01-22,-42.0
2021-01-23,-40.0
2021-01-24,-43.0
2021-01-25,-42.0
2021-01-26,-41.0
2021-01-27,-43.0
2021-01-28,-40.0
2021-01-29,-40.0
2021-01-30,-33.0
2021-01-31,-36.0
2021-02-01,-41.0
2021-02-02,-40.0
2021-02-03,-45.0
2021-02-04,-41.0
2021-02-05,-37.0
2021-02-06,-38.0
2021-02-07,-42.0
2021-02-08,-42.0
2021-02-09,-42.0
2021-02-10,-46.0
2021-02-11,-42.0
2021-02-12,-42.0
2021-02-13,-32.0
2021-02-14,-36.0
2021-02-15,-41.0
2021-02-16,-39.0
2021-02-17,-42.0
2021-02-18,-42.0
2021-02-19,-40.0
2021-02-20,-25.0
2021-02-21,-23.0
2021-02-22,-40.0
2021-02-23,-38.0
2021-02-24,-37.0
2021-02-25,-37.0
2021-02-26,-39.0
2021-02-27,-27.0
2021-02-28,-24.0
2021-03-01,-35.0
2021-03-02,-33.0
2021-03-03,-36.0
2021-03-04,-35.0
2021-03-05,-37.0
2021-03-06,-25.0
2021-03-07,-25.0
2021-03-08,-33.0
2021-03-09,-34.0
2021-03-10,-38.0
2021-03-11,-36.0
2021-03-12,-37.0
2021-03-13,-33.0
2021-03-14,-29.0
2021-03-15,-35.0
2021-03-16,-35.0
2021-03-17,-37.0
2021-03-18,-34.0
2021-03-19,-30.0
2021-03-20,-47.0
2021-03-21,-45.0
2021-03-22,-43.0
2021-03-23,-39.0
2021-03-24,-41.0
2021-03-25,-41.0
2021-03-26,-43.0
2021-03-27,-42.0
2021-03-28,-37.0
2021-03-29,-39.0
2021-03-30,-36.0
2021-03-31,-37.0
2021-04-01,-38.0
2021-04-02,-39.0
2021-04-03,-41.0
2021-04-04,-42.0
2021-04-05,-64.0
2021-04-06,-46.0
2021-04-07,-46.0
2021-04-08,-44.0
2021-04-09,-47.0
2021-04-10,-47.0
2021-04-11,-47.0
2021-04-12,-44.0
2021-04-13,-42.0
2021-04-14,-45.0
2021-04-15,-44.0
2021-04-16,-46.0
2021-04-17,-40.0
2021-04-18,-39.0
2021-04-19,-43.0
2021-04-20,-42.0
2021-04-21,-44.0
2021-04-22,-42.0
2021-04-23,-44.0
2021-04-24,-37.0
2021-04-25,-32.0
2021-04-26,-41.0
2021-04-27,-39.0
2021-04-28,-42.0
2021-04-29,-40.0
2021-04-30,-40.0
2021-05-01,-45.0
2021-05-02,-36.0
2021-05-03,-34.0
2021-05-04,-33.0
2021-05-05,-35.0
2021-05-06,-35.0
2021-05-07,-30.0
2021-05-08,-30.0
2021-05-09,-24.0
2021-05-10,-30.0
2021-05-11,-28.0
2021-05-12,-23.0
2021-05-13,-48.0
2021-05-14,-47.0
2021-05-15,-37.0
2021-05-16,-23.0
2021-05-17,-27.0
2021-05-18,-26.0
2021-05-19,-21.0
2021-05-20,-20.0
2021-05-21,-18.0
2021-05-22,-14.0
2021-05-23,-14.0
2021-05-24,-37.0
2021-05-25,-20.0
2021-05-26,-23.0
2021-05-27,-18.0
2021-05-28,-18.0
2021-05-29,-6.0
2021-05-30,0.0
2021-05-31,-17.0
2021-06-01,-14.0
2021-06-02,-21.0
2021-06-03,-18.0
2021-06-04,-19.0
2021-06-05,-10.0
2021-06-06,1.0
2021-06-07,-18.0
2021-06-08,-15.0
2021-06-09,-14.0
2021-06-10,-12.0
2021-06-11,-11.0
2021-06-12,-2.0
2021-06-13,3.0
2021-06-14,-13.0
2021-06-15,-10.0
2021-06-16,-16.0
2021-06-17,-14.0
2021-06-18,-12.0
2021-06-19,-11.0
2021-06-20,-2.0
2021-06-21,-6.0
2021-06-22,-14.0
2021-06-23,-15.0
2021-06-24,-10.0
2021-06-25,-13.0
2021-06-26,0.0
2021-06-27,1.0
2021-06-28,-12.0
2021-06-29,-13.0
2021-06-30,-12.0
2021-07-01,-5.0
2021-07-02,-7.0
2021-07-03,1.0
2021-07-04,3.0
2021-07-05,-8.0
2021-07-06,-3.0
2021-07-07,-9.0
2021-07-08,-5.0
2021-07-09,-9.0
2021-07-10,-2.0
2021-07-11,5.0
2021-07-12,-15.0
2021-07-13,-16.0
2021-07-14,-33.0
2021-07-15,-14.0
2021-07-16,-18.0
2021-07-17,-4.0
2021-07-18,4.0
2021-07-19,-13.0
2021-07-20,-14.0
2021-07-21,-17.0
2021-07-22,-15.0
2021-07-23,-19.0
2021-07-24,-9.0
