Identifiant arc;Libelle;Date et heure de comptage;Débit horaire;Taux d'occupation;Etat trafic;Identifiant noeud amont;Libelle noeud amont;Identifiant noeud aval;Libelle noeud aval;Etat arc;Date debut dispo data;Date fin dispo data;geo_point_2d;geo_shape
4264;AV_Champs_Elysees;2021-10-13T23:00:00+02:00;843.0;16.57111;Pré-saturé;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;2005-01-01;2019-06-01;48.8715358799,2.30172279246;"{""type"": ""LineString"", ""coordinates"": [[2.3009951475, 48.8717770435], [2.3024504374, 48.8712947163]]}"
4264;AV_Champs_Elysees;2021-10-13T20:00:00+02:00;1337.0;26.49722;Pré-saturé;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;2005-01-01;2019-06-01;48.8715358799,2.30172279246;"{""type"": ""LineString"", ""coordinates"": [[2.3009951475, 48.8717770435], [2.3024504374, 48.8712947163]]}"
4264;AV_Champs_Elysees;2021-10-13T19:00:00+02:00;1222.0;24.47278;Pré-saturé;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;2005-01-01;2019-06-01;48.8715358799,2.30172279246;"{""type"": ""LineString"", ""coordinates"": [[2.3009951475, 48.8717770435], [2.3024504374, 48.8712947163]]}"
4264;AV_Champs_Elysees;2021-10-13T18:00:00+02:00;1096.0;21.295;Pré-saturé;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;2005-01-01;2019-06-01;48.8715358799,2.30172279246;"{""type"": ""LineString"", ""coordinates"": [[2.3009951475, 48.8717770435], [2.3024504374, 48.8712947163]]}"
4264;AV_Champs_Elysees;2020-12-16T10:00:00+01:00;1472.0;17.73;Pré-saturé;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;2005-01-01;2019-06-01;48.8715358799,2.30172279246;"{""type"": ""LineString"", ""coordinates"": [[2.3009951475, 48.8717770435], [2.3024504374, 48.8712947163]]}"
4264;AV_Champs_Elysees;2020-12-16T08:00:00+01:00;1089.0;11.735;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;2005-01-01;2019-06-01;48.8715358799,2.30172279246;"{""type"": ""LineString"", ""coordinates"": [[2.3009951475, 48.8717770435], [2.3024504374, 48.8712947163]]}"
4264;AV_Champs_Elysees;2020-12-16T06:00:00+01:00;197.0;1.99667;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;2005-01-01;2019-06-01;48.8715358799,2.30172279246;"{""type"": ""LineString"", ""coordinates"": [[2.3009951475, 48.8717770435], [2.3024504374, 48.8712947163]]}"
4264;AV_Champs_Elysees;2020-12-16T03:00:00+01:00;58.0;0.80445;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;2005-01-01;2019-06-01;48.8715358799,2.30172279246;"{""type"": ""LineString"", ""coordinates"": [[2.3009951475, 48.8717770435], [2.3024504374, 48.8712947163]]}"
4264;AV_Champs_Elysees;2020-12-16T01:00:00+01:00;99.0;1.42167;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;2005-01-01;2019-06-01;48.8715358799,2.30172279246;"{""type"": ""LineString"", ""coordinates"": [[2.3009951475, 48.8717770435], [2.3024504374, 48.8712947163]]}"
4264;AV_Champs_Elysees;2021-04-02T14:00:00+02:00;997.0;12.34778;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;2005-01-01;2019-06-01;48.8715358799,2.30172279246;"{""type"": ""LineString"", ""coordinates"": [[2.3009951475, 48.8717770435], [2.3024504374, 48.8712947163]]}"
